Tournament, Gender, Date,Round,Player 1,Player 2,Score,Winner
Optasia Championships 2025,Women's,25 Mar 2025 • 19:15,Round 1,Mariam Metwally,Torrie Malik,"3-2, 11-8, 7-11, 12-10, 9-11, 12-10",Mariam Metwally
Optasia Championships 2025,Women's,-,Round 1,BYE,Melissa Alves,"---, ---, ---, ---, ---, ---",Melissa Alves
Optasia Championships 2025,Women's,-,Round 1,Sana Ibrahim,BYE,"---, ---, ---, ---, ---, ---",BYE
Optasia Championships 2025,Women's,25 Mar 2025 • 17:30,Round 1,Lisa Aitken,Sarah-Jane Perry,"0-3, 6-11, 8-11, 6-11, ---, ---",Sarah-Jane Perry
Optasia Championships 2025,Women's,25 Mar 2025 • 17:30,Round 1,Nour Aboulmakarim,Marie Stephan,"3-1, 11-7, 13-11, 6-11, 13-11, ---",Nour Aboulmakarim
Optasia Championships 2025,Women's,-,Round 1,BYE,Georgina Kennedy,"---, ---, ---, ---, ---, ---",Georgina Kennedy
Spanish Open 2025,Women's,29 Mar 2025 • 19:30,Final,Hana Moataz,Zeina Mickawy,"1-3, 11-8, 7-11, 11-13, 7-11, ---",Zeina Mickawy
Spanish Open 2025,Women's,28 Mar 2025 • 20:15,Semi final,Lucy Turmel,Hana Moataz,"2-3, 2-11, 11-9, 5-11, 11-5, 13-15",Hana Moataz
Spanish Open 2025,Women's,28 Mar 2025 • 19:30,Semi final,Marta Dominguez,Zeina Mickawy,"1-3, 11-9, 3-11, 5-11, 2-11, ---",Zeina Mickawy
Spanish Open 2025,Women's,27 Mar 2025 • 19:30,Quarter final,Lucy Turmel,Nardine Garas,"3-0, 11-7, 11-7, 11-4, ---, ---",Lucy Turmel
Spanish Open 2025,Women's,27 Mar 2025 • 20:15,Quarter final,Nadine Shahin,Hana Moataz,"1-3, 9-11, 8-11, 11-5, 8-11, ---",Hana Moataz
Spanish Open 2025,Women's,27 Mar 2025 • 18:00,Quarter final,Emily Whitlock,Marta Dominguez,"1-3, 11-7, 9-11, 3-11, 7-11, ---",Marta Dominguez
Spanish Open 2025,Women's,27 Mar 2025 • 18:45,Quarter final,Haya Ali,Zeina Mickawy,"0-3, 8-11, 6-11, 6-11, ---, ---",Zeina Mickawy
Spanish Open 2025,Women's,26 Mar 2025 • 19:30,Round 2,Lucy Turmel,Alina Bushma,"3-0, 11-3, 11-9, 14-12, ---, ---",Lucy Turmel
Spanish Open 2025,Women's,26 Mar 2025 • 18:45,Round 2,Saskia Beinhard,Nardine Garas,"0-3, 3-11, 12-14, 9-11, ---, ---",Nardine Garas
Spanish Open 2025,Women's,26 Mar 2025 • 20:15,Round 2,Nadine Shahin,Yasshmita Jadish Kumar,"3-1, 8-11, 11-6, 11-7, 11-9, ---",Nadine Shahin
Spanish Open 2025,Women's,26 Mar 2025 • 18:00,Round 2,Emilia Soini,Hana Moataz,"0-3, 5-11, 8-11, 5-11, ---, ---",Hana Moataz
Spanish Open 2025,Women's,26 Mar 2025 • 12:30,Round 2,Emily Whitlock,Jessica van der Walt,"3-0, 11-8, 11-6, 11-5, ---, ---",Emily Whitlock
Spanish Open 2025,Women's,26 Mar 2025 • 13:15,Round 2,Millie Tomlinson,Marta Dominguez,"1-3, 8-11, 8-11, 11-9, 3-11, ---",Marta Dominguez
Spanish Open 2025,Women's,26 Mar 2025 • 14:00,Round 2,Haya Ali,Rana Ismail,"3-2, 11-8, 6-11, 11-7, 5-11, 11-5",Haya Ali
Spanish Open 2025,Women's,26 Mar 2025 • 14:45,Round 2,Enora Villard,Zeina Mickawy,"0-3, 11-13, 10-12, 3-11, ---, ---",Zeina Mickawy
Spanish Open 2025,Women's,-,Round 1,Lucy Turmel,BYE,"---, ---, ---, ---, ---, ---",BYE
Spanish Open 2025,Women's,25 Mar 2025 • 19:30,Round 1,Alina Bushma,Nour Megahed,"3-0, 13-11, 11-8, 12-10, ---, ---",Alina Bushma
Spanish Open 2025,Women's,25 Mar 2025 • 18:45,Round 1,Saskia Beinhard,Hayley Ward,"3-0, 11-8, 11-7, 11-5, ---, ---",Saskia Beinhard
Spanish Open 2025,Women's,-,Round 1,BYE,Nardine Garas,"---, ---, ---, ---, ---, ---",Nardine Garas
Spanish Open 2025,Women's,-,Round 1,Nadine Shahin,BYE,"---, ---, ---, ---, ---, ---",BYE
Spanish Open 2025,Women's,25 Mar 2025 • 20:15,Round 1,Ona Blasco,Yasshmita Jadish Kumar,"1-3, 6-11, 15-13, 5-11, 3-11, ---",Yasshmita Jadish Kumar
Spanish Open 2025,Women's,25 Mar 2025 • 18:00,Round 1,Emilia Soini,Lucia Bautista,"3-1, 11-13, 11-8, 11-4, 11-4, ---",Emilia Soini
Spanish Open 2025,Women's,-,Round 1,BYE,Hana Moataz,"---, ---, ---, ---, ---, ---",Hana Moataz
Spanish Open 2025,Women's,-,Round 1,Emily Whitlock,BYE,"---, ---, ---, ---, ---, ---",BYE
Spanish Open 2025,Women's,25 Mar 2025 • 12:30,Round 1,Pilar Etchechoury,Jessica van der Walt,"0-3, 5-11, 6-11, 6-11, ---, ---",Jessica van der Walt
Spanish Open 2025,Women's,25 Mar 2025 • 13:15,Round 1,Millie Tomlinson,Xin Ying Yee,"3-1, 11-5, 11-6, 8-11, 11-6, ---",Millie Tomlinson
Spanish Open 2025,Women's,-,Round 1,BYE,Marta Dominguez,"---, ---, ---, ---, ---, ---",Marta Dominguez
Spanish Open 2025,Women's,-,Round 1,Haya Ali,BYE,"---, ---, ---, ---, ---, ---",BYE
Spanish Open 2025,Women's,25 Mar 2025 • 14:00,Round 1,Sarah Cardwell,Rana Ismail,"0-3, 7-11, 7-11, 5-11, ---, ---",Rana Ismail
Spanish Open 2025,Women's,25 Mar 2025 • 14:45,Round 1,Enora Villard,Nadia Pfister,"3-0, 11-2, 11-4, 11-1, ---, ---",Enora Villard
Spanish Open 2025,Women's,-,Round 1,BYE,Zeina Mickawy,"---, ---, ---, ---, ---, ---",Zeina Mickawy
Manchester Open 2025,Men's,06 Apr 2025 • 15:45,Final,Leonel Cardenas,Aly Abou Eleinen,"3-2, 11-2, 5-11, 11-9, 3-11, 11-8",Leonel Cardenas
Manchester Open 2025,Men's,05 Apr 2025 • 18:30,Semi final,Leonel Cardenas,Declan James,"3-0, 11-7, 11-6, 12-10, ---, ---",Leonel Cardenas
Manchester Open 2025,Men's,05 Apr 2025 • 17:45,Semi final,Jonah Bryant,Aly Abou Eleinen,"1-3, 8-11, 5-11, 11-5, 9-11, ---",Aly Abou Eleinen
Manchester Open 2025,Men's,04 Apr 2025 • 19:15,Quarter final,Leonel Cardenas,George Parker,"3-0, 13-11, 11-5, 11-6, ---, ---",Leonel Cardenas
Manchester Open 2025,Men's,04 Apr 2025 • 20:00,Quarter final,Abhay Singh,Declan James,"0-3, 4-11, 9-11, 2-11, ---, ---",Declan James
Manchester Open 2025,Men's,04 Apr 2025 • 14:00,Quarter final,Nick Wall,Jonah Bryant,"0-3, 8-11, 11-13, 4-11, ---, ---",Jonah Bryant
Manchester Open 2025,Men's,04 Apr 2025 • 14:45,Quarter final,Juan Vargas,Aly Abou Eleinen,"0-3, 6-11, 4-11, 8-11, ---, ---",Aly Abou Eleinen
Manchester Open 2025,Men's,03 Apr 2025 • 17:45,Round 2,Leonel Cardenas,Simon Herbert,"3-1, 9-11, 11-6, 11-8, 11-8, ---",Leonel Cardenas
Manchester Open 2025,Men's,03 Apr 2025 • 19:15,Round 2,Patrick Rooney,George Parker,"---, ---, ---, ---, ---, ---",George Parker
Manchester Open 2025,Men's,03 Apr 2025 • 17:45,Round 2,Nathan Lake,Abhay Singh,"1-3, 4-11, 11-2, 7-11, 8-11, ---",Abhay Singh
Manchester Open 2025,Men's,03 Apr 2025 • 19:15,Round 2,Shahjahan Khan,Declan James,"0-3, 5-11, 5-11, 7-11, ---, ---",Declan James
Manchester Open 2025,Men's,03 Apr 2025 • 14:30,Round 2,Miguel Rodriguez,Nick Wall,"1-3, 4-11, 11-6, 5-11, 9-11, ---",Nick Wall
Manchester Open 2025,Men's,03 Apr 2025 • 14:30,Round 2,Sanjay Jeeva,Jonah Bryant,"0-3, 7-11, 5-11, 6-11, ---, ---",Jonah Bryant
Manchester Open 2025,Men's,03 Apr 2025 • 12:45,Round 2,Juan Vargas,Emyr Evans,"2-2, 11-7, 6-11, 8-7, ---, ---",Juan Vargas
Manchester Open 2025,Men's,03 Apr 2025 • 12:45,Round 2,Edwin Clain,Aly Abou Eleinen,"0-3, 8-11, 4-11, 9-11, ---, ---",Aly Abou Eleinen
Manchester Open 2025,Men's,-,Round 1,Leonel Cardenas,BYE,"---, ---, ---, ---, ---, ---",BYE
Manchester Open 2025,Men's,02 Apr 2025 • 17:45,Round 1,Diego Gobbi,Simon Herbert,"1-3, 11-7, 6-11, 8-11, 5-11, ---",Simon Herbert
Manchester Open 2025,Men's,02 Apr 2025 • 19:15,Round 1,Patrick Rooney,Aaron Allpress,"3-0, 11-5, 11-8, 11-7, ---, ---",Patrick Rooney
Manchester Open 2025,Men's,-,Round 1,BYE,George Parker,"---, ---, ---, ---, ---, ---",George Parker
Manchester Open 2025,Men's,-,Round 1,Nathan Lake,BYE,"---, ---, ---, ---, ---, ---",BYE
Manchester Open 2025,Men's,02 Apr 2025 • 17:45,Round 1,Daniel Poleshchuk,Abhay Singh,"1-3, 11-9, 1-11, 2-11, 9-11, ---",Abhay Singh
Manchester Open 2025,Men's,02 Apr 2025 • 19:15,Round 1,Ben Smith,Shahjahan Khan,"RET-, 12-10, 9-11, 0-1, ---, ---",Shahjahan Khan
Manchester Open 2025,Men's,-,Round 1,BYE,Declan James,"---, ---, ---, ---, ---, ---",Declan James
Manchester Open 2025,Men's,-,Round 1,Miguel Rodriguez,BYE,"---, ---, ---, ---, ---, ---",BYE
Manchester Open 2025,Men's,02 Apr 2025 • 14:30,Round 1,Finnlay Withington,Nick Wall,"1-3, 6-11, 11-5, 7-11, 8-11, ---",Nick Wall
Manchester Open 2025,Men's,02 Apr 2025 • 12:45,Round 1,Sanjay Jeeva,Bailey Malik,"3-0, 11-5, 11-8, 11-6, ---, ---",Sanjay Jeeva
Manchester Open 2025,Men's,-,Round 1,BYE,Jonah Bryant,"---, ---, ---, ---, ---, ---",Jonah Bryant
Manchester Open 2025,Men's,-,Round 1,Juan Vargas,BYE,"---, ---, ---, ---, ---, ---",BYE
Manchester Open 2025,Men's,02 Apr 2025 • 14:30,Round 1,Emyr Evans,Muhammad Asim Khan,"3-1, 11-8, 7-11, 11-6, 11-3, ---",Emyr Evans
Manchester Open 2025,Men's,02 Apr 2025 • 12:45,Round 1,Edwin Clain,Charlie Lee,"3-2, 7-11, 7-11, 11-5, 12-10, 11-5",Edwin Clain
Manchester Open 2025,Men's,-,Round 1,BYE,Aly Abou Eleinen,"---, ---, ---, ---, ---, ---",Aly Abou Eleinen
Manchester Open 2025,Women's,06 Apr 2025 • 15:00,Final,Georgina Kennedy,Salma Hany,"2-3, 2-11, 11-9, 3-11, 11-5, 9-11",Salma Hany
Manchester Open 2025,Women's,05 Apr 2025 • 16:45,Semi final,Georgina Kennedy,Katie Malliff,"3-1, 3-11, 11-5, 11-4, 11-4, ---",Georgina Kennedy
Manchester Open 2025,Women's,05 Apr 2025 • 16:00,Semi final,Salma Hany,Jasmine Hutton,"3-0, 11-6, 11-9, 11-8, ---, ---",Salma Hany
Manchester Open 2025,Women's,04 Apr 2025 • 17:30,Quarter final,Georgina Kennedy,Grace Gear,"3-0, 11-4, 11-8, 11-5, ---, ---",Georgina Kennedy
Manchester Open 2025,Women's,04 Apr 2025 • 18:15,Quarter final,Katie Malliff,Farida Mohamed,"3-2, 11-6, 11-9, 6-11, 8-11, 12-10",Katie Malliff
Manchester Open 2025,Women's,04 Apr 2025 • 12:45,Quarter final,Salma Hany,Sarah-Jane Perry,"3-0, 11-5, 11-9, 11-5, ---, ---",Salma Hany
Manchester Open 2025,Women's,04 Apr 2025 • 12:00,Quarter final,Jasmine Hutton,Nele Gilis-Coll,"3-1, 11-5, 6-11, 11-6, 11-7, ---",Jasmine Hutton
Manchester Open 2025,Women's,03 Apr 2025 • 18:30,Round 2,Georgina Kennedy,Aifa Azman,"3-0, 11-3, 11-3, 11-1, ---, ---",Georgina Kennedy
Manchester Open 2025,Women's,03 Apr 2025 • 13:45,Round 2,Grace Gear,Mariam Metwally,"3-0, 11-7, 11-8, 11-5, ---, ---",Grace Gear
Manchester Open 2025,Women's,03 Apr 2025 • 18:30,Round 2,Katie Malliff,Kiera Marshall,"3-1, 5-11, 11-9, 12-10, 11-5, ---",Katie Malliff
Manchester Open 2025,Women's,03 Apr 2025 • 17:00,Round 2,Marta Dominguez,Farida Mohamed,"0-3, 11-13, 10-12, 6-11, ---, ---",Farida Mohamed
Manchester Open 2025,Women's,03 Apr 2025 • 12:00,Round 2,Salma Hany,Haya Ali,"3-0, 11-7, 11-8, 11-6, ---, ---",Salma Hany
Manchester Open 2025,Women's,03 Apr 2025 • 17:00,Round 2,Alicia Mead,Sarah-Jane Perry,"2-3, 11-7, 11-13, 11-4, 8-11, 5-11",Sarah-Jane Perry
Manchester Open 2025,Women's,03 Apr 2025 • 13:45,Round 2,Jasmine Hutton,Torrie Malik,"3-0, 17-15, 11-7, 11-8, ---, ---",Jasmine Hutton
Manchester Open 2025,Women's,03 Apr 2025 • 12:00,Round 2,Nardine Garas,Nele Gilis-Coll,"0-3, 5-11, 9-11, 6-11, ---, ---",Nele Gilis-Coll
Manchester Open 2025,Women's,-,Round 1,Georgina Kennedy,BYE,"---, ---, ---, ---, ---, ---",BYE
Manchester Open 2025,Women's,02 Apr 2025 • 17:00,Round 1,Yasshmita Jadish Kumar,Aifa Azman,"0-3, 2-11, 8-11, 1-11, ---, ---",Aifa Azman
Manchester Open 2025,Women's,02 Apr 2025 • 17:00,Round 1,Grace Gear,Asia Harris,"3-0, 11-2, 11-7, 11-6, ---, ---",Grace Gear
Manchester Open 2025,Women's,-,Round 1,BYE,Mariam Metwally,"---, ---, ---, ---, ---, ---",Mariam Metwally
Manchester Open 2025,Women's,-,Round 1,Katie Malliff,BYE,"---, ---, ---, ---, ---, ---",BYE
Manchester Open 2025,Women's,02 Apr 2025 • 18:30,Round 1,Kiera Marshall,Emilia Soini,"3-0, 11-8, 11-4, 11-6, ---, ---",Kiera Marshall
Manchester Open 2025,Women's,02 Apr 2025 • 18:30,Round 1,Saran Nghiem,Marta Dominguez,"0-3, 2-11, 3-11, 8-11, ---, ---",Marta Dominguez
Manchester Open 2025,Women's,-,Round 1,BYE,Farida Mohamed,"---, ---, ---, ---, ---, ---",Farida Mohamed
Manchester Open 2025,Women's,-,Round 1,Salma Hany,BYE,"---, ---, ---, ---, ---, ---",BYE
Manchester Open 2025,Women's,02 Apr 2025 • 12:00,Round 1,Joelle King,Haya Ali,"0-3, 7-11, 9-11, 10-12, ---, ---",Haya Ali
Manchester Open 2025,Women's,02 Apr 2025 • 12:00,Round 1,Alicia Mead,Rana Ismail,"3-2, 8-11, 4-11, 11-1, 11-4, 14-12",Alicia Mead
Manchester Open 2025,Women's,-,Round 1,BYE,Sarah-Jane Perry,"---, ---, ---, ---, ---, ---",Sarah-Jane Perry
Manchester Open 2025,Women's,-,Round 1,Jasmine Hutton,BYE,"---, ---, ---, ---, ---, ---",BYE
Manchester Open 2025,Women's,02 Apr 2025 • 13:45,Round 1,Lowri Roberts,Torrie Malik,"2-3, 12-10, 5-11, 8-11, 11-7, 11-13",Torrie Malik
Manchester Open 2025,Women's,02 Apr 2025 • 13:45,Round 1,Nardine Garas,Saskia Beinhard,"3-2, 9-11, 9-11, 11-7, 11-3, 11-3",Nardine Garas
Manchester Open 2025,Women's,-,Round 1,BYE,Nele Gilis-Coll,"---, ---, ---, ---, ---, ---",Nele Gilis-Coll
Africa World Championship Qualifiers 2025,Men's,10 Apr 2025 • 19:15,Final,Aly Hussein,Dewald van Niekerk,"2-3, 11-5, 11-6, 3-11, 10-12, 2-11",Dewald van Niekerk
Africa World Championship Qualifiers 2025,Men's,09 Apr 2025 • 18:30,Semi final,Aly Hussein,Ziad Ibrahim,"3-1, 11-6, 10-12, 11-5, 11-4, ---",Aly Hussein
Africa World Championship Qualifiers 2025,Men's,09 Apr 2025 • 20:00,Semi final,Yassin Shohdy,Dewald van Niekerk,"0-3, 7-11, 12-14, 4-11, ---, ---",Dewald van Niekerk
Africa World Championship Qualifiers 2025,Men's,08 Apr 2025 • 15:30,Quarter final,Aly Hussein,Shady Sherbiny,"3-0, 11-3, 11-5, 11-2, ---, ---",Aly Hussein
Africa World Championship Qualifiers 2025,Men's,08 Apr 2025 • 17:00,Quarter final,Ryan Gwidzima,Ziad Ibrahim,"0-3, 6-11, 8-11, 5-11, ---, ---",Ziad Ibrahim
Africa World Championship Qualifiers 2025,Men's,08 Apr 2025 • 18:30,Quarter final,Mohamed Nasser,Yassin Shohdy,"2-3, 9-11, 11-9, 11-8, 9-11, 11-13",Yassin Shohdy
Africa World Championship Qualifiers 2025,Men's,08 Apr 2025 • 20:00,Quarter final,Adam Hawal,Dewald van Niekerk,"1-3, 4-11, 13-11, 3-11, 6-11, ---",Dewald van Niekerk
Africa World Championship Qualifiers 2025,Men's,07 Apr 2025 • 15:30,Round 1,Aly Hussein,Taha Elshafei,"3-0, 11-8, 11-9, 11-5, ---, ---",Aly Hussein
Africa World Championship Qualifiers 2025,Men's,07 Apr 2025 • 15:30,Round 1,Ahmed Sherif,Shady Sherbiny,"0-3, 8-11, 8-11, 8-11, ---, ---",Shady Sherbiny
Africa World Championship Qualifiers 2025,Men's,07 Apr 2025 • 17:00,Round 1,Yehia Essam,Ryan Gwidzima,"1-3, 11-9, 2-11, 9-11, 7-11, ---",Ryan Gwidzima
Africa World Championship Qualifiers 2025,Men's,07 Apr 2025 • 17:00,Round 1,Kareem Badawi,Ziad Ibrahim,"2-3, 11-9, 7-11, 12-14, 11-6, 9-11",Ziad Ibrahim
Africa World Championship Qualifiers 2025,Men's,07 Apr 2025 • 18:30,Round 1,Mohamed Nasser,Arno Diekmann,"3-0, 11-2, 11-7, 11-5, ---, ---",Mohamed Nasser
Africa World Championship Qualifiers 2025,Men's,07 Apr 2025 • 18:30,Round 1,Luhann Groenewald,Yassin Shohdy,"0-3, 4-11, 5-11, 6-11, ---, ---",Yassin Shohdy
Africa World Championship Qualifiers 2025,Men's,07 Apr 2025 • 20:00,Round 1,Abdalla Hafez,Adam Hawal,"2-3, 11-9, 4-11, 8-11, 11-9, 9-11",Adam Hawal
Africa World Championship Qualifiers 2025,Men's,07 Apr 2025 • 20:00,Round 1,Islam Kouritam,Dewald van Niekerk,"0-3, 1-11, 4-11, 5-11, ---, ---",Dewald van Niekerk
Africa World Championship Qualifiers 2025,Women's,10 Apr 2025 • 18:30,Final,Nour Khafagy,Nadien Elhammamy,"0-3, 4-11, 6-11, 1-11, ---, ---",Nadien Elhammamy
Africa World Championship Qualifiers 2025,Women's,09 Apr 2025 • 17:45,Semi final,Amina El Rihany,Nour Khafagy,"2-3, 11-9, 7-11, 9-11, 11-5, 6-11",Nour Khafagy
Africa World Championship Qualifiers 2025,Women's,09 Apr 2025 • 19:15,Semi final,Menna Walid,Nadien Elhammamy,"0-3, 4-11, 7-11, 3-11, ---, ---",Nadien Elhammamy
Africa World Championship Qualifiers 2025,Women's,08 Apr 2025 • 14:45,Quarter final,Amina El Rihany,Lojayn Gohary,"3-1, 11-4, 11-4, 9-11, 11-5, ---",Amina El Rihany
Africa World Championship Qualifiers 2025,Women's,08 Apr 2025 • 16:15,Quarter final,Salma El Alfy,Nour Khafagy,"0-3, 8-11, 10-12, 7-11, ---, ---",Nour Khafagy
Africa World Championship Qualifiers 2025,Women's,08 Apr 2025 • 17:45,Quarter final,Menna Walid,Teagan Russell,"3-1, 11-7, 9-11, 11-5, 11-9, ---",Menna Walid
Africa World Championship Qualifiers 2025,Women's,08 Apr 2025 • 19:15,Quarter final,Nadien Elhammamy,Hayley Ward,"3-0, 12-10, 11-4, 11-7, ---, ---",Nadien Elhammamy
Africa World Championship Qualifiers 2025,Women's,-,Round 1,Amina El Rihany,BYE,"---, ---, ---, ---, ---, ---",BYE
Africa World Championship Qualifiers 2025,Women's,07 Apr 2025 • 14:45,Round 1,Dené Van Zyl,Lojayn Gohary,"0-3, 4-11, 14-16, 5-11, ---, ---",Lojayn Gohary
Africa World Championship Qualifiers 2025,Women's,07 Apr 2025 • 16:15,Round 1,Salma El Alfy,Keschia Scorgie,"3-0, 11-2, 11-4, 11-5, ---, ---",Salma El Alfy
Africa World Championship Qualifiers 2025,Women's,07 Apr 2025 • 16:15,Round 1,Jordin Kate Phillips,Nour Khafagy,"0-3, 8-11, 11-13, 4-11, ---, ---",Nour Khafagy
Africa World Championship Qualifiers 2025,Women's,07 Apr 2025 • 17:45,Round 1,Menna Walid,Bianke Pienaar,"3-0, 11-6, 11-2, 11-7, ---, ---",Menna Walid
Africa World Championship Qualifiers 2025,Women's,07 Apr 2025 • 17:45,Round 1,Helena Coetzee,Teagan Russell,"1-3, 11-5, 9-11, 8-11, 8-11, ---",Teagan Russell
Africa World Championship Qualifiers 2025,Women's,07 Apr 2025 • 19:15,Round 1,Nadien Elhammamy,Ritaj Gomaa,"3-0, 11-4, 11-4, 11-7, ---, ---",Nadien Elhammamy
Africa World Championship Qualifiers 2025,Women's,07 Apr 2025 • 19:15,Round 1,BYE,Hayley Ward,"---, ---, ---, ---, ---, ---",Hayley Ward
Pan America World Championship Qualifiers 2025,Men's,11 Apr 2025 • 18:30,Final,Alejandro Enriquez,Matias Knudsen,"0-3, 3-11, 6-11, 4-11, ---, ---",Matias Knudsen
Pan America World Championship Qualifiers 2025,Men's,10 Apr 2025 • 17:45,Semi final,Jeremias Azaña,Alejandro Enriquez,"1-3, 12-10, 8-11, 8-11, 7-11, ---",Alejandro Enriquez
Pan America World Championship Qualifiers 2025,Men's,10 Apr 2025 • 19:15,Semi final,Spencer Lovejoy,Matias Knudsen,"1-3, 18-16, 7-11, 9-11, 2-11, ---",Matias Knudsen
Pan America World Championship Qualifiers 2025,Men's,09 Apr 2025 • 17:45,Quarter final,Jeremias Azaña,Dillon Huang,"3-1, 11-4, 11-8, 8-11, 11-6, ---",Jeremias Azaña
Pan America World Championship Qualifiers 2025,Men's,09 Apr 2025 • 19:15,Quarter final,Alejandro Enriquez,Ronald Palomino,"3-0, 11-2, 11-9, 11-4, ---, ---",Alejandro Enriquez
Pan America World Championship Qualifiers 2025,Men's,09 Apr 2025 • 17:45,Quarter final,Spencer Lovejoy,Salah Eltorgman,"3-1, 2-11, 11-8, 11-5, 11-9, ---",Spencer Lovejoy
Pan America World Championship Qualifiers 2025,Men's,09 Apr 2025 • 19:15,Quarter final,Matias Knudsen,Cesar Salazar,"3-0, 11-8, 11-2, 11-5, ---, ---",Matias Knudsen
Pan America World Championship Qualifiers 2025,Men's,08 Apr 2025 • 16:15,Round 1,Jeremias Azaña,Alfredo Avila Vergara,"3-1, 12-10, 13-11, 2-11, 11-9, ---",Jeremias Azaña
Pan America World Championship Qualifiers 2025,Men's,08 Apr 2025 • 17:45,Round 1,Dillon Huang,Andres Herrera,"3-1, 12-10, 13-11, 9-11, 11-7, ---",Dillon Huang
Pan America World Championship Qualifiers 2025,Men's,08 Apr 2025 • 18:30,Round 1,Alejandro Enriquez,Cesar Segundo Corona,"3-0, 11-1, 11-8, 12-10, ---, ---",Alejandro Enriquez
Pan America World Championship Qualifiers 2025,Men's,08 Apr 2025 • 19:15,Round 1,Liam Marrison,Ronald Palomino,"1-3, 8-11, 11-2, 8-11, 5-11, ---",Ronald Palomino
Pan America World Championship Qualifiers 2025,Men's,08 Apr 2025 • 16:15,Round 1,Spencer Lovejoy,Sebastian Salazar,"3-2, 10-12, 11-5, 5-11, 11-5, 11-7",Spencer Lovejoy
Pan America World Championship Qualifiers 2025,Men's,08 Apr 2025 • 17:45,Round 1,Josue Enriquez,Salah Eltorgman,"0-3, 9-11, 6-11, 10-12, ---, ---",Salah Eltorgman
Pan America World Championship Qualifiers 2025,Men's,08 Apr 2025 • 18:30,Round 1,Matias Knudsen,Matias Lacroix,"3-0, 11-4, 11-5, 11-8, ---, ---",Matias Knudsen
Pan America World Championship Qualifiers 2025,Men's,08 Apr 2025 • 19:15,Round 1,Taylor Carrick,Cesar Salazar,"1-3, 12-10, 7-11, 3-11, 3-11, ---",Cesar Salazar
Pan America World Championship Qualifiers 2025,Women's,11 Apr 2025 • 17:45,Final,Lucie Stefanoni,Margot Prow,"3-2, 11-7, 9-11, 12-10, 3-11, 12-10",Lucie Stefanoni
Pan America World Championship Qualifiers 2025,Women's,10 Apr 2025 • 17:00,Semi final,Lucia Bautista,Lucie Stefanoni,"2-3, 9-11, 11-7, 11-7, 7-11, 2-11",Lucie Stefanoni
Pan America World Championship Qualifiers 2025,Women's,10 Apr 2025 • 18:30,Semi final,Caroline Fouts,Margot Prow,"2-3, 11-7, 6-11, 11-8, 3-11, 4-11",Margot Prow
Pan America World Championship Qualifiers 2025,Women's,09 Apr 2025 • 17:00,Quarter final,Lucia Bautista,Tabita Gaitan,"3-1, 11-8, 11-4, 5-11, 11-5, ---",Lucia Bautista
Pan America World Championship Qualifiers 2025,Women's,09 Apr 2025 • 18:30,Quarter final,Lucie Stefanoni,Catalina Pelaez,"3-0, 11-7, 11-9, 11-5, ---, ---",Lucie Stefanoni
Pan America World Championship Qualifiers 2025,Women's,09 Apr 2025 • 17:00,Quarter final,Caroline Fouts,Laura Tovar,"3-0, 11-7, 11-8, 11-8, ---, ---",Caroline Fouts
Pan America World Championship Qualifiers 2025,Women's,09 Apr 2025 • 18:30,Quarter final,Laila Sedky,Margot Prow,"1-3, 11-8, 10-12, 6-11, 7-11, ---",Margot Prow
Pan America World Championship Qualifiers 2025,Women's,-,Round 1,Lucia Bautista,BYE,"---, ---, ---, ---, ---, ---",BYE
Pan America World Championship Qualifiers 2025,Women's,08 Apr 2025 • 17:00,Round 1,Tabita Gaitan,Bruna Marchesi Petrillo,"3-0, 11-8, 11-4, 11-6, ---, ---",Tabita Gaitan
Pan America World Championship Qualifiers 2025,Women's,08 Apr 2025 • 15:30,Round 1,Diana Garcia,Lucie Stefanoni,"0-3, 6-11, 8-11, 13-15, ---, ---",Lucie Stefanoni
Pan America World Championship Qualifiers 2025,Women's,-,Round 1,BYE,Catalina Pelaez,"---, ---, ---, ---, ---, ---",Catalina Pelaez
Pan America World Championship Qualifiers 2025,Women's,-,Round 1,Caroline Fouts,BYE,"---, ---, ---, ---, ---, ---",BYE
Pan America World Championship Qualifiers 2025,Women's,08 Apr 2025 • 17:00,Round 1,Mary Fung-A-Fat,Laura Tovar,"0-3, 1-11, 3-11, 4-11, ---, ---",Laura Tovar
Pan America World Championship Qualifiers 2025,Women's,-,Round 1,Laila Sedky,BYE,"---, ---, ---, ---, ---, ---",BYE
Pan America World Championship Qualifiers 2025,Women's,-,Round 1,BYE,Margot Prow,"---, ---, ---, ---, ---, ---",Margot Prow
Oceania World Championship Qualifiers 2025,Men's,13 Apr 2025 • 15:00,Final,Dylan Molinaro,Rhys Dowling,"RET-, 11-7, 5-11, 6-11, 2-6, ---",Rhys Dowling
Oceania World Championship Qualifiers 2025,Men's,12 Apr 2025 • 14:45,Semi final,Dylan Molinaro,Oliver Dunbar,"3-0, 11-3, 11-9, 11-8, ---, ---",Dylan Molinaro
Oceania World Championship Qualifiers 2025,Men's,12 Apr 2025 • 16:15,Semi final,Tate Norris,Rhys Dowling,"0-3, 7-11, 4-11, 8-11, ---, ---",Rhys Dowling
Oceania World Championship Qualifiers 2025,Men's,11 Apr 2025 • 17:15,Quarter final,Joseph White,Dylan Molinaro,"2-3, 11-4, 7-11, 11-8, 3-11, 8-11",Dylan Molinaro
